dataset,codec,variant,acc_percent,map_percent,acc_percent_ci95_lower,acc_percent_ci95_upper,map_percent_ci95_lower,map_percent_ci95_upper,num_queries,model_type,bootstrap_samples,quality_flag,file
afrinames,DAC,out_16kbps,100.0,100.0,100.0,100.0,100.0,100.0,115,mfcc,200,excellent,results/ACC_MAP_v2/metrics_20260216_215231/afrinames_DAC_out_16kbps_acc_map.json
afrinames,DAC,out_24kbps,100.0,100.0,100.0,100.0,100.0,100.0,115,mfcc,200,excellent,results/ACC_MAP_v2/metrics_20260216_215231/afrinames_DAC_out_24kbps_acc_map.json
afrinames,DAC,out_8kbps,100.0,100.0,100.0,100.0,100.0,100.0,115,mfcc,200,excellent,results/ACC_MAP_v2/metrics_20260216_215231/afrinames_DAC_out_8kbps_acc_map.json
afrinames,Encodec,out_12kbps,100.0,100.0,100.0,100.0,100.0,100.0,150,mfcc,200,excellent,results/ACC_MAP_v2/metrics_20260216_215231/afrinames_Encodec_out_12kbps_acc_map.json
afrinames,Encodec,out_24kbps,100.0,100.0,100.0,100.0,100.0,100.0,150,mfcc,200,excellent,results/ACC_MAP_v2/metrics_20260216_215231/afrinames_Encodec_out_24kbps_acc_map.json
afrinames,Encodec,out_3kbps,98.66666666666667,99.33333333333333,96.65,100.0,98.32499999999999,100.0,150,mfcc,200,strong,results/ACC_MAP_v2/metrics_20260216_215231/afrinames_Encodec_out_3kbps_acc_map.json
afrinames,Encodec,out_6kbps,99.33333333333333,99.66666666666667,98.0,100.0,99.0,100.0,150,mfcc,200,excellent,results/ACC_MAP_v2/metrics_20260216_215231/afrinames_Encodec_out_6kbps_acc_map.json
afrinames,FocalCodec,focalcodec_12_5hz,8.0,16.967596604598196,4.0,12.666666666666668,12.928173403223301,21.825572639116384,150,mfcc,200,weak,results/ACC_MAP_v2/metrics_20260216_215231/afrinames_FocalCodec_focalcodec_12_5hz_acc_map.json
afrinames,FocalCodec,focalcodec_25hz,22.0,35.12760141103925,15.333333333333332,28.666666666666668,28.149777061338703,41.55188171518707,150,mfcc,200,weak,results/ACC_MAP_v2/metrics_20260216_215231/afrinames_FocalCodec_focalcodec_25hz_acc_map.json
afrinames,FocalCodec,focalcodec_50hz_2k_causal,8.0,18.634851447540868,4.666666666666667,12.666666666666668,14.705393808199856,22.978618592024265,150,mfcc,200,weak,results/ACC_MAP_v2/metrics_20260216_215231/afrinames_FocalCodec_focalcodec_50hz_2k_causal_acc_map.json
afrinames,FocalCodec,focalcodec_50hz_4k_causal,12.0,21.807884610804695,7.333333333333333,17.350000000000005,17.168792556756102,27.321474358199012,150,mfcc,200,weak,results/ACC_MAP_v2/metrics_20260216_215231/afrinames_FocalCodec_focalcodec_50hz_4k_causal_acc_map.json
afrinames,FocalCodec,focalcodec_50hz_65k_causal,10.0,22.46039181659917,5.333333333333334,15.333333333333332,18.060525671587648,28.01910875046763,150,mfcc,200,weak,results/ACC_MAP_v2/metrics_20260216_215231/afrinames_FocalCodec_focalcodec_50hz_65k_causal_acc_map.json
afrinames,FocalCodec,focalcodec_50hz,40.0,53.19234044539449,32.666666666666664,47.333333333333336,47.12061959258039,59.218696546152884,150,mfcc,200,weak,results/ACC_MAP_v2/metrics_20260216_215231/afrinames_FocalCodec_focalcodec_50hz_acc_map.json
afrinames,LanguageCodec,bandwidth_0,100.0,100.0,100.0,100.0,100.0,100.0,67,mfcc,200,excellent,results/ACC_MAP_v2/metrics_20260216_215231/afrinames_LanguageCodec_bandwidth_0_acc_map.json
