dataset,codec,num_variants,mean_eer_percent,std_eer_percent,mean_min_dcf,std_min_dcf,mean_eer_ci95_upper,num_overlap_variants,num_zero_eer_variants,num_fragile_zero_variants
afrinames,DAC,3,0.011441647597254006,0.01357370741422745,0.013729977116704805,0.014411026538978295,0.02159840242694435,2,1,0
afrinames,Encodec,4,0.3696868008948546,0.23149431004428955,0.0632662192393736,0.036594287539121105,0.7530709238210839,4,0,0
afrinames,LanguageCodec,4,0.5257801899592944,0.3647745042274657,0.16044776119402984,0.016264548296793552,1.011241880806402,4,0,0
afrinames,UniCodec,1,0.8187919463087249,0.0,0.131006711409396,0.0,1.844237517821679,1,0,0
afrinames,WavTokenizer,6,1.296047725577927,0.8801851932500793,0.27893363161819534,0.1527007875533844,2.216827917854342,6,0,0
afrinames,SemantiCodec,6,2.791200596569724,0.8186184038232287,0.3837061894108874,0.08601342722799984,4.580326986887035,6,0,0
afrinames,FocalCodec,6,22.118941088739746,4.867270277064619,0.9662192393736018,0.036910311084661314,24.827328129435646,6,0,0
afrispeech_dialog,Encodec,4,0.0,0.0,0.0,0.0,0.0,0,4,0
afrispeech_dialog,LanguageCodec,4,0.0,0.0,0.0,0.0,0.0,0,4,0
afrispeech_dialog,DAC,3,0.014172335600907028,0.02004270921730577,0.006802721088435374,0.009620500424306767,0.03582746538002865,1,2,0
afrispeech_dialog,WavTokenizer,6,0.5314625850340137,0.6900559540748235,0.18877551020408162,0.134167263811282,1.3876330470938505,6,0,0
afrispeech_dialog,SemantiCodec,6,1.342828798185941,0.9129957302420323,0.5542091836734694,0.3569057081328046,2.2799242541137428,6,0,0
afrispeech_dialog,FocalCodec,6,16.62060657596372,2.0945620058205825,0.9704506802721088,0.024759540808610786,20.2339039388655,6,0,0
afrispeech_dialog,UniCodec,1,20.408163265306122,0.0,1.0,0.0,24.952888761171327,1,0,0
afrispeech_multilingual,DAC,3,0.0,0.0,0.0,0.0,0.0,0,3,0
afrispeech_multilingual,LanguageCodec,4,0.027777777777777776,0.011007320564496652,0.0525,0.01785357107135712,0.04937710250699126,4,0,0
afrispeech_multilingual,Encodec,4,0.07070707070707072,0.021127778447830196,0.095,0.061846584384264915,0.1059981672047475,4,0,0
afrispeech_multilingual,SemantiCodec,6,0.7971380471380471,0.26050386680723936,0.43,0.06218252702059207,1.1936247614820836,6,0,0
afrispeech_multilingual,UniCodec,1,1.0,0.0,0.38999999999999996,0.0,2.8801572859092466,1,0,0
afrispeech_multilingual,WavTokenizer,6,1.462962962962963,1.6414210480731843,0.405,0.21615966321217286,2.121118770289885,6,0,0
afrispeech_multilingual,FocalCodec,6,24.11868686868687,6.0444226621328285,0.9983333333333333,0.003726779962499611,27.694366209445015,6,0,0
