dataset,codec,variant,eer_percent,min_dcf,eer_percent_ci95_lower,eer_percent_ci95_upper,has_overlap,margin,num_trials,model_type,quality_flag,file
afrinames,DAC,out_16kbps,0.0,0.0,0.0,0.0,False,3.7180603226216746e-06,13225,mfcc,zero_eer_robust,results/ASV_v2/metrics_20260215_214110/afrinames_DAC_out_16kbps_asv.json
afrinames,DAC,out_24kbps,0.030511060259344015,0.03363844393592677,0.0,0.05334207154455266,True,-1.8096443734072487e-05,13225,mfcc,overlap_detected,results/ASV_v2/metrics_20260215_214110/afrinames_DAC_out_24kbps_asv.json
afrinames,DAC,out_8kbps,0.003813882532418002,0.007551487414187643,0.0,0.011453135736280394,True,-1.0384349946601645e-07,13225,mfcc,overlap_detected,results/ASV_v2/metrics_20260215_214110/afrinames_DAC_out_8kbps_asv.json
afrinames,Encodec,out_12kbps,0.16554809843400448,0.03991051454138702,0.00447657640182706,0.5325106394334199,True,-6.0180282408839325e-05,22500,mfcc,overlap_detected,results/ASV_v2/metrics_20260215_214110/afrinames_Encodec_out_12kbps_asv.json
afrinames,Encodec,out_24kbps,0.5234899328859061,0.026621923937360178,0.0022368362188520557,0.5779901585351064,True,-6.399811120483268e-05,22500,mfcc,overlap_detected,results/ASV_v2/metrics_20260215_214110/afrinames_Encodec_out_24kbps_asv.json
afrinames,Encodec,out_3kbps,0.6666666666666667,0.12214765100671142,0.0693714843952445,1.745133714469349,True,-0.00014929925259665744,22500,mfcc,overlap_detected,results/ASV_v2/metrics_20260215_214110/afrinames_Encodec_out_3kbps_asv.json
afrinames,Encodec,out_6kbps,0.12304250559284118,0.0643847874720358,0.03126170545817583,0.15664918284645993,True,-5.396596891149574e-05,22500,mfcc,overlap_detected,results/ASV_v2/metrics_20260215_214110/afrinames_Encodec_out_6kbps_asv.json
afrinames,FocalCodec,focalcodec_12_5hz,29.36017897091723,0.9843847874720357,26.485967534455803,32.14952069052046,True,-0.002300372331368039,22500,mfcc,overlap_detected,results/ASV_v2/metrics_20260215_214110/afrinames_FocalCodec_focalcodec_12_5hz_asv.json
afrinames,FocalCodec,focalcodec_25hz,19.29082774049217,0.948814317673378,15.712392609227226,21.6455315644268,True,-0.0013534729798401202,22500,mfcc,overlap_detected,results/ASV_v2/metrics_20260215_214110/afrinames_FocalCodec_focalcodec_25hz_asv.json
afrinames,FocalCodec,focalcodec_50hz_2k_causal,25.440715883668908,0.9888590604026845,21.414016687909747,28.195454363250903,True,-0.0014675719574662738,22500,mfcc,overlap_detected,results/ASV_v2/metrics_20260215_214110/afrinames_FocalCodec_focalcodec_50hz_2k_causal_asv.json
